,Issue,title,paragraph,GPT_finetuned_five,GPT_finetuned_five_smiles,GPT_finetuned_five_skeleton,GPT_finetuned_five_rxn
70,['many_product (> 1)'],b) Synthesis of Ala-cholesterol (3-O-(L-alanyl)-cholesterol),Z-Ala-cholesterol (0.48 mmol) is placed in tetrahydrofuran (20 ml) and glacial acetic acid (3 ml) and hydrogenated in the presence of 5% palladium on charcoal for 2 hours. The reaction mixture is filtered and concentrated in vacuo.,"{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""Z-Ala-cholesterol"",
  ""B"": ""tetrahydrofuran"",
  ""C"": ""glacial acetic acid"",
  ""D"": ""palladium on charcoal""
 },
 ""Product"": {
  ""E"": ""Ala-cholesterol""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add and Heat)"": ""A+B+C+D->mixture1"",
  ""2 (Work-up, Purify and Evaporate)"": ""mixture1->E""
 }
}","{'A': 'C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C.C[C@@H](C(=O)O)NC(=O)OCC1=CC=CC=C1', 'B': 'O1CCCC1', 'C': 'C(C)(=O)O', 'D': '[Pd]', 'E': 'C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C.C[C@@H](C(=O)O)N'}",['A.B.C.D>E'],['C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C.C[C@@H](C(=O)O)NC(=O)OCC1=CC=CC=C1.O1CCCC1.C(C)(=O)O.[Pd]>C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C.C[C@@H](C(=O)O)N']
71,['many_product (> 1)'],Benzyl trans4-aminomethylcyclohexane1-carboxylate-p-toluenesulfonic acid salt,"A mixture of 10.0 g (63.6 mmol) of trans-4-aminomethylcyclohexane-1-carboxylic acid, 25.1 g (132 mmol) of 4-toluenesulfonic acid, 50 mL (482 mmol) of benzyl alcohol, and 75 mL of toluene was heated to reflux under a N2 atmosphere using a Dean-Stark trap to collect water formed during the reaction. During reflux, all solids dissolved to leave a colorless solution. After 3 hours at reflux, the solution began to turn yellow. Heat was removed, and the flask allowed to cool to room temperature. The solids which separated out were collected and washed with diethyl ether. There was obtained 24.5 g (58.4 mmol, 92% yield) of product as a white solid.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""trans-4-aminomethylcyclohexane-1-carboxylic acid"",
  ""B"": ""4-toluenesulfonic acid"",
  ""C"": ""benzyl alcohol"",
  ""D"": ""toluene"",
  ""E"": ""diethyl ether""
 },
 ""Product"": {
  ""F"": ""Benzyl trans4-aminomethylcyclohexane1-carboxylate-p-toluenesulfonic acid salt""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Heat)"": ""A+B+C+D->mixture1"",
  ""2 (Work-up-involve, Cool)"": ""mixture1->mixture2"",
  ""3 (Work-up, Precipitate)"": ""mixture2+E->mixture3"",
  ""4 (Work-up, Wash)"": ""mixture3+E->F""
 }
}","{'A': 'NC[C@@H]1CC[C@H](CC1)C(=O)O', 'B': 'CC1=CC=C(C=C1)S(=O)(=O)O', 'C': 'C(C1=CC=CC=C1)O', 'D': 'CC1=CC=CC=C1', 'E': 'C(C)OCC', 'F': 'CC1=CC=C(C=C1)S(=O)(=O)O.NC[C@@H]1CC[C@H](CC1)C(=O)OCC1=CC=CC=C1'}",['A.B.C.D>F'],['NC[C@@H]1CC[C@H](CC1)C(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.C(C1=CC=CC=C1)O.CC1=CC=CC=C1>CC1=CC=C(C=C1)S(=O)(=O)O.NC[C@@H]1CC[C@H](CC1)C(=O)OCC1=CC=CC=C1']
72,['many_product (> 1)'],"2-tert-Butyl-4-{4-[3-(4-methyl-5-methyl-4H-[1,2,4]triazol-3-ylsulfanyl)-propyl]-piperazin-1-yl}-6-tert-butyl-pyrimidine hydrochloride","1 g of 2-tert-Butyl-4-[4-(3-chloro-propyl)-piperazin-1-yl]-6-tert-butyl-pyrimidine (2.83 mmol), 0.4 g of 4-Methyl-5-methyl-4H-[1,2,4]triazole-3-thiol (3.09 mmol), 0.2 g of lithium-hydroxide (8.35 mmol) and a spatula tip of potassium iodide werde stirred in 20 ml of dimethylformamide for 2 h at 80° C. After addition of water and ethyl acetate, the organic phase was separated and dried over magnesium sulfate. After filtration and evaporation of the solvent, the crude product was purified by column chromatography on silica gel using dichloromethane-methanol (1-6%). Fractions containing the product were combined and the solvent was evaporated. The residue was dissolved in isopropanol, and a solution of HCl in isopropanol was added. On addition of diisopropylethylether, the product formed an oily mass. The solvent was decanted and the remaining oil evaporated to dryness to yield 0.6 g (41%) of the title compound as a white solid.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""2-tert-Butyl-4-[4-(3-chloro-propyl)-piperazin-1-yl]-6-tert-butyl-pyrimidine"",
  ""B"": ""4-Methyl-5-methyl-4H-[1,2,4]triazole-3-thiol"",
  ""C"": ""lithium-hydroxide"",
  ""D"": ""potassium iodide"",
  ""E"": ""dimethylformamide"",
  ""F"": ""water"",
  ""G"": ""ethyl acetate"",
  ""H"": ""magnesium sulfate"",
  ""I"": ""dichloromethane"",
  ""J"": ""methanol"",
  ""K"": ""isopropanol"",
  ""L"": ""hydrochloric acid"",
  ""M"": ""diisopropylethylether""
 },
 ""Product"": {
  ""N"": ""2-tert-Butyl-4-{4-[3-(4-methyl-5-methyl-4H-[1,2,4]triazol-3-ylsulfanyl)-propyl]-piperazin-1-yl}-6-tert-butyl-pyrimidine hydrochloride""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Mix)"": ""A+B+C+D+E->mixture1"",
  ""2 (Work-up-involve, Add)"": ""mixture1+F+G->mixture2"",
  ""3 (Work-up-involve, Dry)"": ""mixture2+H->mixture3"",
  ""4 (Work-up, Purify and Evaporate)"": ""mixture3->mixture4"",
  ""5 (Work-up, Chromatography)"": ""mixture4+I+J->mixture5"",
  ""6 (Work-up, Evaporate)"": ""mixture5->mixture6"",
  ""7 (Work-up, Dissolve and pH-adjust)"": ""mixture6+K+L->mixture7"",
  ""8 (Work-up, Precipitate and Evaporate)"": ""mixture7+M->N""
 }
}","{'A': 'C(C)(C)(C)C1=NC(=CC(=N1)N1CCN(CC1)CCCCl)C(C)(C)C', 'B': 'CN1C(=NN=C1C)S', 'C': '[OH-].[Li+]', 'D': '[I-].[K+]', 'E': 'CN(C=O)C', 'F': 'O', 'G': 'C(C)(=O)OCC', 'H': 'S(=O)(=O)([O-])[O-].[Mg+2]', 'I': 'ClCCl', 'J': 'CO', 'K': 'C(C)(C)O', 'L': 'Cl', 'M': 'C(C)(C)C(C)(C(C)C)OC(C)(C(C)C)C(C)C', 'N': 'Cl.C(C)(C)(C)C1=NC(=CC(=N1)N1CCN(CC1)CCCSC1=NN=C(N1C)C)C(C)(C)C'}",['A.B.C.D.E>F.G>H>N'],['C(C)(C)(C)C1=NC(=CC(=N1)N1CCN(CC1)CCCCl)C(C)(C)C.CN1C(=NN=C1C)S.[OH-].[Li+].[I-].[K+].CN(C=O)C>O.C(C)(=O)OCC>S(=O)(=O)([O-])[O-].[Mg+2]>Cl.C(C)(C)(C)C1=NC(=CC(=N1)N1CCN(CC1)CCCSC1=NN=C(N1C)C)C(C)(C)C']
73,['many_product (> 1)'],"sodium 3, 6, 8-trisulfonaphthylthiourea","Solid sodium 3, 6, 8-trisulfonaphthylisothiocyanate (250 mg; 0.5 mmol) was added to a solution of PAMAM 4.0 (51 mg; 0.01 mmol) and N,N-dimethyl-N-allylamine buffer (pH 9.5; 1 ml) in water (2 ml) and the mixture heated under nitrogen at 53° for two hours and then cooled. The mixture was concentrated under reduced pressure to give an orange solid. The residual solid was dissolved in water (2 ml) and passed through a short column of Amberlite IR-120(Na). The filtrate was then concentrated and the residue purified by gel filtration (Sephadex LH20; water). The pure fractions were combined and freeze dried to give the sodium 3, 6, 8-trisulfonaphthylthiourea terminated PAMAM 4.0 dendrimer as an off-white solid (102 mg). 1H nmr (D2O): δ 2.65; 3.02; 3.30; 3.66; 8.05; 8.42; 8.59; 8.67. 13 C nmr (D2O): δ 33.2; 38.7; 43.2; 43.7; 47.8; 54.0; 54.3; 56.7; 131.0; 131.3; 131.9; 135.9; 138.0; 139.6; 143.8; 144.1; 145.6; 176.2; 176.5; 186.0.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""sodium 3, 6, 8-trisulfonaphthylisothiocyanate"",
  ""B"": ""PAMAM 4.0"",
  ""C"": ""N,N-dimethyl-N-allylamine"",
  ""D"": ""water"",
  ""E"": ""Amberlite IR-120(Na)"",
  ""F"": ""Sephadex LH20""
 },
 ""Product"": {
  ""G"": ""sodium 3, 6, 8-trisulfonaphthylthiourea terminated PAMAM 4.0 dendrimer""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C+D->mixture1"",
  ""2 (Work-up, Concentrate)"": ""mixture1->mixture2"",
  ""3 (Work-up, Dissolve and Chromatography)"": ""mixture2+D+E->mixture3"",
  ""4 (Work-up, Concentrate)"": ""mixture3->mixture4"",
  ""5 (Work-up, Purify)"": ""mixture4+F->mixture5"",
  ""6 (Work-up, Dry)"": ""mixture5->G""
 }
}","{'A': 'S(=O)(=O)(O)C=1C=C(C2=C(C=C(C=C2C1)S(=O)(=O)O)S(=O)(=O)O)N=C=S.[Na]', 'B': '[PAMAM 4.0 (NoSmi)]', 'C': 'CN(CC=C)C', 'D': 'O', 'E': '[Amberlite IR-120(Na) (NoSmi)]', 'F': '[Sephadex LH20 (NoSmi)]', 'G': '[sodium 3, 6, 8-trisulfonaphthylthiourea terminated PAMAM 4.0 dendrimer (NoSmi)]'}",['A.B.C.D>G'],"['S(=O)(=O)(O)C=1C=C(C2=C(C=C(C=C2C1)S(=O)(=O)O)S(=O)(=O)O)N=C=S.[Na].[PAMAM 4.0 (NoSmi)].CN(CC=C)C.O>[sodium 3, 6, 8-trisulfonaphthylthiourea terminated PAMAM 4.0 dendrimer (NoSmi)]']"
74,['many_product (> 1)'],sodium (Z)-3-(4-chlorophenyl)-3-(4-methanesulphonylphenyl)-2-(2-hydroxyethyl)prop-2-enoate,"To a solution of 5 g (0.0122 mole) of ethyl (Z)-3-(4-chlorophenyl)-3-(4-methanesulphonylphenyl)-2-(2-hydroxyethyl)prop-2-enoate, prepared in example 4, in 10 ml of ethanol are added 11 ml (0.011 mole) of 1 M sodium hydroxide. The mixture is heated for 2 hours under reflux, then evaporated to dryness in vacuo. The crystals obtained are washed with ethyl acetate and with diethyl ether and then dried to provide 4.5 g of sodium (Z)-3-(4-chlorophenyl)-3-(4-methanesulphonylphenyl)-2-(2-hydroxyethyl)prop-2-enoate as crystals with melting point of 257-259° C.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""ethyl (Z)-3-(4-chlorophenyl)-3-(4-methanesulphonylphenyl)-2-(2-hydroxyethyl)prop-2-enoate"",
  ""B"": ""ethanol"",
  ""C"": ""sodium hydroxide"",
  ""D"": ""ethyl acetate"",
  ""E"": ""diethyl ether""
 },
 ""Product"": {
  ""F"": ""sodium (Z)-3-(4-chlorophenyl)-3-(4-methanesulphonylphenyl)-2-(2-hydroxyethyl)prop-2-enoate""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C->mixture1"",
  ""2 (Reaction, Heat)"": ""mixture1->mixture2"",
  ""3 (Work-up, Evaporate)"": ""mixture2->mixture3"",
  ""4 (Work-up, Wash)"": ""mixture3+D->mixture4"",
  ""5 (Work-up, Wash)"": ""mixture4+E->F""
 }
}","{'A': 'ClC1=CC=C(C=C1)\\C(=C(/C(=O)OCC)\\CCO)\\C1=CC=C(C=C1)S(=O)(=O)C', 'B': 'C(C)O', 'C': '[OH-].[Na+]', 'D': 'C(C)(=O)OCC', 'E': 'C(C)OCC', 'F': 'ClC1=CC=C(C=C1)\\C(=C(/C(=O)[O-])\\CCO)\\C1=CC=C(C=C1)S(=O)(=O)C.[Na+]'}",['A.B.C>F'],['ClC1=CC=C(C=C1)\\C(=C(/C(=O)OCC)\\CCO)\\C1=CC=C(C=C1)S(=O)(=O)C.C(C)O.[OH-].[Na+]>ClC1=CC=C(C=C1)\\C(=C(/C(=O)[O-])\\CCO)\\C1=CC=C(C=C1)S(=O)(=O)C.[Na+]']
75,['many_product (> 1)'],4-isopropylphenylacetimidate hydrochloride,"To a solution of 4-isopropylphenylacetonitrile (2 g, 12.5 mmol) in anhydrous ether (50 mL) was added absolute ethanol (0.5 g, 12.5 mmol) and an excess of HCl gas was passed into the solution with cooling in an ice bath. The resulting solution was allowed to stir at 0° C. for 1.5 hours and at room temperature overnight. The white solid was collected by filtration, washed with ether (2×20 mL) and dried to give 2.52 g (84%) of 4-isopropylphenylacetimidate hydrochloride as white crystals, mp 118-120° C. A solution of ethylenediamine (1.25 g, 20 mmol) in absolute ethanol (5 mL) was added to a solution of the imidate hydrochloride (2.5 g, 10 mmol) in absolute ethanol (15 mL) cooled at ice-bath temperature. After stirring at 0° C. for 1 hour, the solution was heated at reflux for 20 minutes. The solvent was evaporated and the oily residue was washed with water (2×3 mL) and extracted with methylene chloride (3×15 mL). The solution was dried (MgSO4), filtered and evaporated under reduced pressure to afford 2 g of the free base of the title compound. A solution of the free base in anhydrous ether was treated with dry HCl gas. The crude salt was collected and recrystallized from ethanol/ether to give 1.95 g (79%) of the title compound as a white solid. mp 176-178° C.; Anal. C13H18N2.HCl: C, H, N.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""4-isopropylphenylacetonitrile"",
  ""B"": ""ether"",
  ""C"": ""ethanol"",
  ""D"": ""hydrochloric acid"",
  ""E"": ""ethylenediamine"",
  ""F"": ""water"",
  ""G"": ""methylene chloride"",
  ""H"": ""magnesium sulfate""
 },
 ""Product"": {
  ""I"": ""4-isopropylphenylacetimidate hydrochloride"",
  ""J"": ""4-isopropylphenylacetimidate""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C+D->mixture1"",
  ""2 (Work-up, Purify)"": ""mixture1->mixture2"",
  ""3 (Work-up, Wash)"": ""mixture2+F->mixture3"",
  ""4 (Work-up, Dry and Extract)"": ""mixture3+G->mixture4"",
  ""5 (Work-up, Purify and Evaporate)"": ""mixture4+H->mixture5"",
  ""6 (Reaction, Add)"": ""mixture5+B+D->mixture6"",
  ""7 (Work-up, Crystallize)"": ""mixture6+C->I"",
  ""8 (Work-up, Crystallize)"": ""J+C+B->I""
 }
}","{'A': 'C(C)(C)C1=CC=C(C=C1)CC#N', 'B': 'CCOCC', 'C': 'C(C)O', 'D': 'Cl', 'E': 'C(CN)N', 'F': 'O', 'G': 'C(Cl)Cl', 'H': 'S(=O)(=O)([O-])[O-].[Mg+2]', 'I': 'Cl.C(C)(C)C1=CC=C(C=C1)CC(O)=N', 'J': 'C(C)(C)C1=CC=C(C=C1)CC([O-])=N'}",['A.B.C.D>B.D>I'],['C(C)(C)C1=CC=C(C=C1)CC#N.CCOCC.C(C)O.Cl>CCOCC.Cl>Cl.C(C)(C)C1=CC=C(C=C1)CC(O)=N']
76,['many_product (> 1)'],"(3β,5β,14β,17β)-14-Amino-3-[[[[2-hydroxy-1-(phenylmethyl)ethyl]amino]carbonyl]oxy]androstane-17-carboxylic Acid, Methyl Ester Hydrochloride","To a solution of 1.4 g (0.004 mole) of (3β,5β,14β,17β)-14-Amino-3-hydroxyandrostane-17-carboxylic Acid, Methyl Ester, prepared according to the procedure described in U.S. Pat. No. 4,885,280, incorporated by reference herein, in 40 ml of CH2Cl2 under N2 and stirring, is added 0.72 g (0.0044 mole) of 1,1'-carbonyldiimidazole. The solution is allowed to stir for 2 days and then 1.8 g (0.012 mole) of (S)-2-amino-3-phenyl-1-propanol is added. No product appeared to form (TLC) after 3 days of stirring and an additional 0.6 g (0.004 mole) of the amine is added and the solution is heated at boiling for 2 days. After cooling to ambient temperature, the solution is allowed to stir further for an additional 10 days. The solution is concentrated at reduced pressure and the residue is taken up with fresh CH2Cl2. The solution is washed with water until the washing is neutral. After drying over MgSO4, CH2Cl2 is removed under reduced pressure and the residual solid is purified by flash chromatography (5% MeOH/CH2Cl2, NH4OH). The fractions are combined and concentrated to yield the free base which is treated with ethanolic HCl to yield (3β(S),5β,14β,17β)-14-Amino-3-[[[[2-hydroxy-1-(phenylmethyl)ethyl]amino]carbonyl]oxy]androstane-17-carboxylic Acid, Methyl Ester Hydrochloride Final Product.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""(3β,5β,14β,17β)-14-Amino-3-hydroxyandrostane-17-carboxylic Acid, Methyl Ester"",
  ""B"": ""CH2Cl2"",
  ""C"": ""1,1'-carbonyldiimidazole"",
  ""D"": ""(S)-2-amino-3-phenyl-1-propanol"",
  ""E"": ""water"",
  ""F"": ""MgSO4"",
  ""G"": ""ethanol"",
  ""H"": ""hydrochloric acid"",
  ""I"": ""MeOH"",
  ""J"": ""NH4OH""
 },
 ""Product"": {
  ""K"": ""(3β,5β,14β,17β)-14-Amino-3-[[[[2-hydroxy-1-(phenylmethyl)ethyl]amino]carbonyl]oxy]androstane-17-carboxylic Acid, Methyl Ester Hydrochloride""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C->mixture1"",
  ""2 (Reaction, Add)"": ""mixture1+D->mixture2"",
  ""3 (Reaction, Heat)"": ""mixture2->mixture3"",
  ""4 (Work-up, Concentrate)"": ""mixture3->mixture4"",
  ""5 (Work-up, Dissolve)"": ""mixture4+B->mixture5"",
  ""6 (Work-up, Wash)"": ""mixture5+E->mixture6"",
  ""7 (Work-up, Dry)"": ""mixture6+F->mixture7"",
  ""8 (Work-up, Evaporate)"": ""mixture7->mixture8"",
  ""9 (Work-up, Chromatography)"": ""mixture8+I+J->mixture9"",
  ""10 (Work-up, Concentrate)"": ""mixture9->mixture10"",
  ""11 (Work-up, Add)"": ""mixture10+G->mixture11"",
  ""12 (Work-up, pH adjust)"": ""mixture11+H->K""
 }
}","{'A': 'N[C@]12CC[C@@H]([C@@]1(C)CC[C@@H]1[C@]3(CC[C@@H](C[C@H]3CC[C@@H]21)O)C)C(=O)OC', 'B': 'C(Cl)Cl', 'C': 'C(=O)(N1C=NC=C1)N1C=NC=C1', 'D': 'N[C@H](CO)CC1=CC=CC=C1', 'E': 'O', 'F': '[O-]S(=O)(=O)[O-].[Mg+2]', 'G': 'C(C)O', 'H': 'Cl', 'I': 'CO', 'J': '[NH4+].[OH-]', 'K': 'Cl.N[C@]12CC[C@@H]([C@@]1(C)CC[C@@H]1[C@]3(CC[C@@H](C[C@H]3CC[C@@H]21)OC(=O)NC(CO)CC2=CC=CC=C2)C)C(=O)OC'}",['A.B.C>D>K'],['N[C@]12CC[C@@H]([C@@]1(C)CC[C@@H]1[C@]3(CC[C@@H](C[C@H]3CC[C@@H]21)O)C)C(=O)OC.C(Cl)Cl.C(=O)(N1C=NC=C1)N1C=NC=C1>N[C@H](CO)CC1=CC=CC=C1>Cl.N[C@]12CC[C@@H]([C@@]1(C)CC[C@@H]1[C@]3(CC[C@@H](C[C@H]3CC[C@@H]21)OC(=O)NC(CO)CC2=CC=CC=C2)C)C(=O)OC']
77,['many_product (> 1)'],1.1: Preparation of ferrocenylacetonitrile,"8.00 g (20.8 mmol) of ferrocenylmethyltrimethylammonium iodide (Strem) and 8 g of KCN (123 mmol) are dissolved in 80 ml of water. The mixture is placed in a round-bottomed flask surmounted by a reflux condenser. The mixture is heated at reflux for 2 hours and is then allowed to cool to room temperature. The product is extracted with 3 times 40 ml of ethyl ether. The organic phase is washed first with 2 times 30 ml of water and then dried over magnesium sulfate. After filtration and evaporation, 4.1 g of ferrocenylacetonitrile are collected.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""ferrocenylmethyltrimethylammonium iodide"",
  ""B"": ""KCN"",
  ""C"": ""water"",
  ""D"": ""ethyl ether"",
  ""E"": ""magnesium sulfate""
 },
 ""Product"": {
  ""F"": ""ferrocenylacetonitrile""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Dissolve)"": ""A+B+C->mixture1"",
  ""2 (Reaction, Heat)"": ""mixture1->mixture2"",
  ""3 (Work-up-involve, Cool)"": ""mixture2->mixture3"",
  ""4 (Work-up, Extract)"": ""mixture3+D->mixture4"",
  ""5 (Work-up, Wash)"": ""mixture4+C->mixture5"",
  ""6 (Work-up, Dry)"": ""mixture5+E->mixture6"",
  ""7 (Work-up, Purify and Evaporate)"": ""mixture6->F""
 }
}","{'A': '[I-].[C-]1(C=CC=C1)C[N+](C)(C)C.[CH-]1C=CC=C1.[Fe+2]', 'B': '[C-]#N.[K+]', 'C': 'O', 'D': 'C(C)OCC', 'E': 'S(=O)(=O)([O-])[O-].[Mg+2]', 'F': '[C-]1(C=CC=C1)CC#N.[CH-]1C=CC=C1.[Fe+2]'}",['A.B.C>F'],['[I-].[C-]1(C=CC=C1)C[N+](C)(C)C.[CH-]1C=CC=C1.[Fe+2].[C-]#N.[K+].O>[C-]1(C=CC=C1)CC#N.[CH-]1C=CC=C1.[Fe+2]']
78,['many_product (> 1)'],Benzyl trans-4-aminomethylcyclohexane-1-carboxylate-p-toluenesulfonic acid salt,"A mixture of 10.0 g (63.6 mmol) of trans-4-aminomethylcyclohexane-1-carboxylic acid, 25.1 g (132 mmol) of 4-toluenesulfonic acid, 50 mL (482 mmol) of benzyl alcohol, and 75 mL of toluene was heated to reflux under a N2 atmosphere using a Dean-Stark trap to collect water formed during the reaction. During reflux, all solids dissolved to leave a colorless solution. After 3 hours at reflux, the solution began to turn yellow. Heat was removed, and the flask allowed to cool to room temperature. The solids which separated out were collected and washed with diethyl ether. There was obtained 24.5 g (58.4 mmol, 92% yield) of product as a white solid. NMR (CD3OD): 7.12/7.20/7.65/7.73 (ABq, C6H4); 7.26 (s, C6H5); 5.06 (s, OCH2 C6H5); 2.72/2.80 (d, CH2N); 2.32 (s, ArCH3); 1.00-2.18 (m, cyclohexyl H). MS: M+ =247 by electron-impact; calculated M+ =247.3.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""trans-4-aminomethylcyclohexane-1-carboxylic acid"",
  ""B"": ""4-toluenesulfonic acid"",
  ""C"": ""benzyl alcohol"",
  ""D"": ""toluene"",
  ""E"": ""diethyl ether""
 },
 ""Product"": {
  ""F"": ""Benzyl trans-4-aminomethylcyclohexane-1-carboxylate-p-toluenesulfonic acid salt""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Heat)"": ""A+B+C+D->mixture1"",
  ""2 (Work-up-involve, Cool)"": ""mixture1->mixture2"",
  ""3 (Work-up, Precipitate and Wash)"": ""mixture2+E->F""
 }
}","{'A': 'NC[C@@H]1CC[C@H](CC1)C(=O)O', 'B': 'CC1=CC=C(C=C1)S(=O)(=O)O', 'C': 'C(C1=CC=CC=C1)O', 'D': 'CC1=CC=CC=C1', 'E': 'C(C)OCC', 'F': 'CC1=CC=C(C=C1)S(=O)(=O)O.NC[C@@H]1CC[C@H](CC1)C(=O)OCC1=CC=CC=C1'}",['A.B.C.D>F'],['NC[C@@H]1CC[C@H](CC1)C(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.C(C1=CC=CC=C1)O.CC1=CC=CC=C1>CC1=CC=C(C=C1)S(=O)(=O)O.NC[C@@H]1CC[C@H](CC1)C(=O)OCC1=CC=CC=C1']
79,['many_product (> 1)'],"3-[1-(1-Methyl-piperidin-4-yl)-indol-3-yl]-4-(1-methyl-indol-3-yl)-1H-pyrrole-2,5-dione hydrochloride","An ice cooled solution of 3-[1-(1-methyl-piperidin-4-yl)-1H-indol-3-yl]-4-(1-methyl-1H-indol-3-yl)-pyrrole-2,5-dione (70 g, 0.16 mol) in ethyl acetate (4 L) was saturated with gaseous hydrogen chloride for 3 hours. The precipitate formed was isolated by suction filtration, suspended in methanol (3 L) and stirred for 30 minutes. The mixture turned into a homogenous slurry, which was concentrated and treated with ether (500 mL). The title compound crystallized and was collected by suction filtration. The filter was vacuum dried over night (100° C./0.1 mm. Yield 70 g (92% of theory). M.Pt.: 280°-282° C.","{
 ""Reactants, Solvents, Catalysts"": {
  ""A"": ""3-[1-(1-methyl-piperidin-4-yl)-1H-indol-3-yl]-4-(1-methyl-1H-indol-3-yl)-pyrrole-2,5-dione"",
  ""B"": ""ethyl acetate"",
  ""C"": ""hydrogen chloride"",
  ""D"": ""methanol"",
  ""E"": ""ether""
 },
 ""Product"": {
  ""F"": ""3-[1-(1-Methyl-piperidin-4-yl)-indol-3-yl]-4-(1-methyl-indol-3-yl)-1H-pyrrole-2,5-dione hydrochloride""
 },
 ""Reaction Steps"": {
  ""1 (Reaction, Add)"": ""A+B+C->mixture1"",
  ""2 (Work-up, Purify)"": ""mixture1->mixture2"",
  ""3 (Work-up, Dissolve and Mix)"": ""mixture2+D->mixture3"",
  ""4 (Work-up, Concentrate and Treat)"": ""mixture3+E->mixture4"",
  ""5 (Work-up, Crystallize and Collect)"": ""mixture4->F"",
  ""6 (Work-up, Dry)"": ""F->mixture5""
 }
}","{'A': 'CN1CCC(CC1)N1C=C(C2=CC=CC=C12)C=1C(NC(C1C1=CN(C2=CC=CC=C12)C)=O)=O', 'B': 'C(C)(=O)OCC', 'C': 'Cl', 'D': 'CO', 'E': 'CCOCC', 'F': 'Cl.CN1CCC(CC1)N1C=C(C2=CC=CC=C12)C=1C(NC(C1C1=CN(C2=CC=CC=C12)C)=O)=O'}",['A.B.C>F'],['CN1CCC(CC1)N1C=C(C2=CC=CC=C12)C=1C(NC(C1C1=CN(C2=CC=CC=C12)C)=O)=O.C(C)(=O)OCC.Cl>Cl.CN1CCC(CC1)N1C=C(C2=CC=CC=C12)C=1C(NC(C1C1=CN(C2=CC=CC=C12)C)=O)=O']
