source_row,model,ground_truth_valid,noise_free,template_frequency,template_failure,identical_structures,rare_N=1,filtered_N=1,rare_N<5,filtered_N<5,rare_N<10,filtered_N<10
257,gemini-3.6-flash-high,True,1,9,0,0,0,0,0,0,1,1
258,gemini-3.6-flash-high,True,1,219,0,0,0,0,0,0,0,0
259,gemini-3.6-flash-high,True,1,4541,0,0,0,0,0,0,0,0
260,gemini-3.6-flash-high,True,1,109,0,0,0,0,0,0,0,0
261,gemini-3.6-flash-high,True,1,7361,0,0,0,0,0,0,0,0
262,gemini-3.6-flash-high,True,1,45357,0,0,0,0,0,0,0,0
263,gemini-3.6-flash-high,True,1,11391,0,0,0,0,0,0,0,0
264,gemini-3.6-flash-high,False,0,917,1,0,0,1,0,1,0,1
265,gemini-3.6-flash-high,True,1,3558,0,0,0,0,0,0,0,0
266,gemini-3.6-flash-high,False,0,197,1,0,0,1,0,1,0,1
267,gemini-3.6-flash-high,True,1,11391,0,0,0,0,0,0,0,0
268,gemini-3.6-flash-high,True,1,27005,0,0,0,0,0,0,0,0
269,gemini-3.6-flash-high,True,1,19810,0,0,0,0,0,0,0,0
270,gemini-3.6-flash-high,True,1,123,0,0,0,0,0,0,0,0
271,gemini-3.6-flash-high,True,1,4265,0,0,0,0,0,0,0,0
272,gemini-3.6-flash-high,True,1,8157,0,0,0,0,0,0,0,0
273,gemini-3.6-flash-high,True,1,14,0,0,0,0,0,0,0,0
274,gemini-3.6-flash-high,True,1,21896,0,0,0,0,0,0,0,0
275,gemini-3.6-flash-high,True,1,2,0,0,0,0,1,1,1,1
276,gemini-3.6-flash-high,True,1,13460,0,0,0,0,0,0,0,0
277,gemini-3.6-flash-high,True,1,3301,0,0,0,0,0,0,0,0
278,gemini-3.6-flash-high,True,1,11,0,0,0,0,0,0,0,0
279,gemini-3.6-flash-high,True,1,7361,0,0,0,0,0,0,0,0
280,gemini-3.6-flash-high,True,1,4430,0,0,0,0,0,0,0,0
281,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
282,gemini-3.6-flash-high,True,1,1556,0,0,0,0,0,0,0,0
283,gemini-3.6-flash-high,True,1,3558,0,0,0,0,0,0,0,0
284,gemini-3.6-flash-high,True,1,3558,0,0,0,0,0,0,0,0
285,gemini-3.6-flash-high,True,1,4541,0,0,0,0,0,0,0,0
286,gemini-3.6-flash-high,True,1,21896,0,0,0,0,0,0,0,0
287,gemini-3.6-flash-high,False,0,3558,1,0,0,1,0,1,0,1
288,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
289,gemini-3.6-flash-high,True,1,4978,1,0,0,1,0,1,0,1
290,gemini-3.6-flash-high,False,0,27005,1,0,0,1,0,1,0,1
291,gemini-3.6-flash-high,True,1,1767,0,0,0,0,0,0,0,0
292,gemini-3.6-flash-high,True,1,3301,0,0,0,0,0,0,0,0
293,gemini-3.6-flash-high,True,1,27005,0,0,0,0,0,0,0,0
294,gemini-3.6-flash-high,True,1,1132,0,0,0,0,0,0,0,0
295,gemini-3.6-flash-high,False,0,5,1,0,0,1,0,1,1,1
296,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
297,gemini-3.6-flash-high,True,1,13460,1,0,0,1,0,1,0,1
298,gemini-3.6-flash-high,True,1,3558,0,0,0,0,0,0,0,0
299,gemini-3.6-flash-high,False,0,8,1,0,0,1,0,1,1,1
300,gemini-3.6-flash-high,True,1,6265,0,0,0,0,0,0,0,0
301,gemini-3.6-flash-high,True,1,58,0,0,0,0,0,0,0,0
302,gemini-3.6-flash-high,True,1,6200,0,0,0,0,0,0,0,0
303,gemini-3.6-flash-high,False,0,2,1,0,0,1,1,1,1,1
304,gemini-3.6-flash-high,True,1,26,0,0,0,0,0,0,0,0
305,gemini-3.6-flash-high,False,0,21896,1,0,0,1,0,1,0,1
306,gemini-3.6-flash-high,True,1,164,0,0,0,0,0,0,0,0
307,gemini-3.6-flash-high,True,1,146,0,0,0,0,0,0,0,0
308,gemini-3.6-flash-high,True,1,1132,0,0,0,0,0,0,0,0
309,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
310,gemini-3.6-flash-high,True,1,57,1,0,0,1,0,1,0,1
311,gemini-3.6-flash-high,False,0,9522,0,0,0,0,0,0,0,0
312,gemini-3.6-flash-high,True,1,275,0,0,0,0,0,0,0,0
313,gemini-3.6-flash-high,True,1,1351,0,0,0,0,0,0,0,0
314,gemini-3.6-flash-high,True,1,2507,0,0,0,0,0,0,0,0
315,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
316,gemini-3.6-flash-high,False,0,4819,1,0,0,1,0,1,0,1
317,gemini-3.6-flash-high,True,1,12,0,0,0,0,0,0,0,0
318,gemini-3.6-flash-high,True,1,4279,0,0,0,0,0,0,0,0
319,gemini-3.6-flash-high,True,1,19810,0,0,0,0,0,0,0,0
320,gemini-3.6-flash-high,True,1,275,0,0,0,0,0,0,0,0
321,gemini-3.6-flash-high,True,1,5824,0,0,0,0,0,0,0,0
322,gemini-3.6-flash-high,True,1,2042,0,0,0,0,0,0,0,0
323,gemini-3.6-flash-high,False,0,49663,0,0,0,0,0,0,0,0
324,gemini-3.6-flash-high,False,0,21896,0,0,0,0,0,0,0,0
325,gemini-3.6-flash-high,True,1,1932,0,0,0,0,0,0,0,0
326,gemini-3.6-flash-high,False,0,21896,0,0,0,0,0,0,0,0
327,gemini-3.6-flash-high,False,0,32,0,0,0,0,0,0,0,0
328,gemini-3.6-flash-high,False,0,4430,0,0,0,0,0,0,0,0
329,gemini-3.6-flash-high,False,0,4264,1,0,0,1,0,1,0,1
330,gemini-3.6-flash-high,True,1,2281,0,0,0,0,0,0,0,0
331,gemini-3.6-flash-high,True,1,41,0,0,0,0,0,0,0,0
332,gemini-3.6-flash-high,False,0,24822,1,0,0,1,0,1,0,1
333,gemini-3.6-flash-high,False,0,2876,1,0,0,1,0,1,0,1
334,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
335,gemini-3.6-flash-high,True,1,3,0,0,0,0,1,1,1,1
336,gemini-3.6-flash-high,True,1,45357,0,0,0,0,0,0,0,0
337,gemini-3.6-flash-high,False,0,219,1,0,0,1,0,1,0,1
338,gemini-3.6-flash-high,False,0,3474,0,0,0,0,0,0,0,0
339,gemini-3.6-flash-high,True,1,89,0,0,0,0,0,0,0,0
340,gemini-3.6-flash-high,False,0,62123,0,0,0,0,0,0,0,0
341,gemini-3.6-flash-high,False,0,13707,0,0,0,0,0,0,0,0
342,gemini-3.6-flash-high,False,0,15061,1,0,0,1,0,1,0,1
343,gemini-3.6-flash-high,True,1,504,0,0,0,0,0,0,0,0
344,gemini-3.6-flash-high,True,1,6265,0,0,0,0,0,0,0,0
345,gemini-3.6-flash-high,False,0,111,0,0,0,0,0,0,0,0
346,gemini-3.6-flash-high,True,1,4279,0,0,0,0,0,0,0,0
347,gemini-3.6-flash-high,True,1,15,0,0,0,0,0,0,0,0
348,gemini-3.6-flash-high,False,0,19810,0,0,0,0,0,0,0,0
349,gemini-3.6-flash-high,True,1,13,0,0,0,0,0,0,0,0
350,gemini-3.6-flash-high,True,1,160,0,0,0,0,0,0,0,0
351,gemini-3.6-flash-high,True,1,84,0,0,0,0,0,0,0,0
352,gemini-3.6-flash-high,True,1,2042,0,0,0,0,0,0,0,0
353,gemini-3.6-flash-high,False,0,2,0,0,0,0,1,1,1,1
354,gemini-3.6-flash-high,True,1,45357,0,0,0,0,0,0,0,0
355,gemini-3.6-flash-high,False,0,118,1,0,0,1,0,1,0,1
356,gemini-3.6-flash-high,True,1,1026,0,0,0,0,0,0,0,0
357,gemini-3.6-flash-high,False,0,42543,1,0,0,1,0,1,0,1
358,gemini-3.6-flash-high,True,1,630,0,0,0,0,0,0,0,0
359,gemini-3.6-flash-high,False,0,45357,0,0,0,0,0,0,0,0
360,gemini-3.6-flash-high,True,1,19810,0,0,0,0,0,0,0,0
361,gemini-3.6-flash-high,True,1,336,0,0,0,0,0,0,0,0
362,gemini-3.6-flash-high,True,1,4,0,0,0,0,1,1,1,1
363,gemini-3.6-flash-high,True,1,2281,0,0,0,0,0,0,0,0
364,gemini-3.6-flash-high,False,0,149,0,0,0,0,0,0,0,0
365,gemini-3.6-flash-high,False,0,43,0,0,0,0,0,0,0,0
366,gemini-3.6-flash-high,True,1,1073,1,0,0,1,0,1,0,1
367,gemini-3.6-flash-high,False,0,3542,1,0,0,1,0,1,0,1
368,gemini-3.6-flash-high,True,1,275,0,0,0,0,0,0,0,0
